GTFS Stop ID,Station ID,station_complex_id,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference,is_cbd,total_from_all,total_to_all,total_from_to_cbd,total_to_from_cbd
G32,288,288,IND,Crosstown,Myrtle-Willoughby Avs,Bk,FALSE,G,Subway,Queens,Southbound,0,0,0,NA,POINT (-73.949046 40.694568),FALSE,537252.3158,516018.482,219735.8004,222090.251
215,428,428,IRT,Lenox - White Plains Rd,174 St,Bx,FALSE,2 5,Elevated,Northbound,Manhattan,0,0,0,NA,POINT (-73.887734 40.837288),FALSE,517949.0412,510294.2022,183464.5316,170124.6952
407,382,382,IRT,Jerome Av,Fordham Rd,Bx,FALSE,4,Elevated,Northbound,Manhattan,1,1,1,NA,POINT (-73.901034 40.862803),FALSE,1029452.2326,986449.724,327018.6664,321701.8076
A21,159,159,IND,8th Av - Fulton St,81 St-Museum of Natural History,M,FALSE,C B,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.972143 40.781433),FALSE,2037995.1132,2076947.7828,1283954.5922,1278093.5682
S31,501,501,SIR,Staten Island,St George,SI,FALSE,SIR,Open Cut,Last Stop,South Shore,1,1,1,NA,POINT (-74.073643 40.643748),FALSE,0,0,0,0
A53,186,186,IND,8th Av - Fulton St,Van Siclen Av,Bk,FALSE,C,Subway,Manhattan,Outbound,0,0,0,NA,POINT (-73.890358 40.67271),FALSE,248259.8016,238154.8018,88856.3946,81366.9646
113,303,303,IRT,Broadway - 7Av,157 St,M,FALSE,1,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.94489 40.834041),FALSE,1225700.7688,1232622.4476,499973.877,514245.588
603,362,362,IRT,Pelham,Middletown Rd,Bx,FALSE,6,Elevated,Pelham Bay,Manhattan,0,0,0,NA,POINT (-73.836322 40.843863),FALSE,199200.9544,192969.778,93853.9866,87191.2606
R34,30,30,BMT,4th Av,Prospect Av,Bk,FALSE,R,Subway,Manhattan,Southbound,0,0,0,NA,POINT (-73.992872 40.665414),FALSE,689040.8938,692103.8126,311219.0736,298633.153
S03,141,141,BMT,Franklin Shuttle,Park Pl,Bk,FALSE,S,Open Cut,Franklin Av,Prospect Park,1,1,1,NA,POINT (-73.957624 40.674772),FALSE,157136.8336,148611.3468,54837.0458,55236.31
D31,47,47,BMT,Broadway - Brighton,Newkirk Plaza,Bk,FALSE,B Q,Open Cut,Manhattan,Southbound,0,0,0,NA,POINT (-73.962793 40.635082),FALSE,1222284.1252,1182844.3246,501375.2588,463440.6776
G19,271,271,IND,Queens Blvd,Steinway St,Q,FALSE,M R,Subway,Outbound,Manhattan,0,0,0,NA,POINT (-73.92074 40.756879),FALSE,1621483.6288,1658337.9916,711952.4534,743913.2252
F03,256,256,IND,Queens Blvd,Parsons Blvd,Q,FALSE,F,Subway,Jamaica,Manhattan,0,0,0,NA,POINT (-73.803326 40.707564),FALSE,838706.8266,768856.6898,318116.3582,272271.4762
133,323,323,IRT,Broadway - 7Av,Christopher St-Stonewall,M,TRUE,1,Subway,Uptown,Downtown,0,0,0,NA,POINT (-74.002906 40.733422),TRUE,1640897.0832,1709590.9412,1003622.4088,1017159.4988
420,414,414,IRT,Lexington Av,Bowling Green,M,TRUE,4 5,Subway,Uptown,Downtown,1,1,1,NA,POINT (-74.014065 40.704817),TRUE,2955843.7544,3023005.2478,1244406.2056,1295288.4526
609,367,367,IRT,Pelham,St Lawrence Av,Bx,FALSE,6,Elevated,Northbound,Manhattan,0,0,0,NA,POINT (-73.867618 40.831509),FALSE,367206.3152,358201.233,164823.5708,155927.3714
116,306,306,IRT,Broadway - 7Av,125 St,M,FALSE,1,Elevated,Uptown,Downtown,0,0,0,NA,POINT (-73.958372 40.815581),FALSE,1081453.1556,1082477.2088,467783.5594,469017.7736
F18,235,235,IND,6th Av - Culver,York St,Bk,FALSE,F,Subway,Manhattan,Southbound,0,0,0,NA,POINT (-73.986751 40.701397),FALSE,2049726.994,2116121.1922,1188366.9304,1179851.3124
F31,246,246,IND,6th Av - Culver,Avenue I,Bk,FALSE,F,Elevated,Manhattan,Southbound,0,0,0,NA,POINT (-73.976127 40.625322),FALSE,147634.4886,145120.5258,32744.6274,33200.4928
B15,62,62,BMT,West End,55 St,Bk,FALSE,D,Elevated,Manhattan,Southbound,0,0,0,NA,POINT (-73.995476 40.631435),FALSE,176363.2962,176827.1452,41191.4678,38454.911
H09,207,207,IND,Rockaway,Beach 36 St,Q,FALSE,A,Viaduct,Manhattan,Far Rockaway,0,0,0,NA,POINT (-73.768175 40.595398),FALSE,35329.6036,35344.036,12302.9806,10724.7334
M23,107,107,BMT,Jamaica,Broad St,M,TRUE,J Z,Subway,Brooklyn,Last Stop,0,0,0,NA,POINT (-74.011056 40.706476),TRUE,724774.423,749903.6412,299055.9886,291344.7414
625,396,396,IRT,Lexington Av,96 St,M,FALSE,6,Subway,The Bronx,Downtown,0,0,0,NA,POINT (-73.95107 40.785672),FALSE,2199252.8014,2228525.833,967253.072,941962.8918
R17,12,607,BMT,Broadway - Brighton,34 St-Herald Sq,M,TRUE,N Q R W,Subway,Uptown,Downtown,1,1,1,NA,POINT (-73.98795 40.749567),TRUE,14740701.2772,14911310.4778,5675192.718,5572316.901
D06,214,214,IND,Concourse,182-183 Sts,Bx,FALSE,B D,Subway,Northbound,Manhattan,0,0,0,NA,POINT (-73.900741 40.856093),FALSE,420470.188,383833.3048,206361.4862,180266.73
A14,152,152,IND,8th Av - Fulton St,135 St,M,FALSE,C B,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.947649 40.817894),FALSE,601233.4884,577006.2804,289182.7076,279821.623
211,424,424,IRT,Lenox - White Plains Rd,Pelham Pkwy,Bx,FALSE,2 5,Elevated,Northbound,Manhattan,1,1,1,NA,POINT (-73.867615 40.857192),FALSE,838441.9562,795280.0372,279756.4242,260219.589
N07,76,76,BMT,Sea Beach,Bay Pkwy,Bk,FALSE,N,Open Cut,Manhattan,Coney Island,0,0,0,NA,POINT (-73.981848 40.611815),FALSE,866059.8981999999,837985.093,332060.2872,309778.9394
225,439,439,IRT,Lenox - White Plains Rd,125 St,M,FALSE,2 3,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.945495 40.807754),FALSE,1643076.1608,1626875.543,636384.6136,648691.692
B14,61,61,BMT,West End,50 St,Bk,FALSE,D,Elevated,Manhattan,Southbound,0,0,0,NA,POINT (-73.994791 40.63626),FALSE,365297.2938,359339.687,85851.2668,80520.506
R45,39,39,BMT,4th Av,Bay Ridge-95 St,Bk,FALSE,R,Subway,Manhattan,Last Stop,1,1,1,NA,POINT (-74.030876 40.616622),FALSE,640560.7852,597456.8132,277043.5632,253170.9536
G28,284,284,IND,Crosstown,Nassau Av,Bk,FALSE,G,Subway,Queens,Southbound,0,0,0,NA,POINT (-73.951277 40.724635),FALSE,1196612.7232,1251835.5342,408349.5126,498449.7762
A33,168,168,IND,8th Av - Fulton St,Spring St,M,TRUE,C E,Subway,Uptown,Downtown,0,0,0,NA,POINT (-74.003739 40.726227),TRUE,1830720.662,1967567.4342,1026807.49,1088914.9822
411,386,386,IRT,Jerome Av,Mt Eden Av,Bx,FALSE,4,Elevated,Northbound,Manhattan,0,0,0,NA,POINT (-73.914685 40.844434),FALSE,464448.5192,426786.7998,161582.9156,147880.1282
G05,278,278,IND,Queens - Archer,Jamaica Center-Parsons/Archer,Q,FALSE,E J Z,Subway,Last Stop,Manhattan,1,1,1,NA,POINT (-73.801109 40.702147),FALSE,3655762.3356,3222770.7034,1184139.6608,1014888.58
109,299,299,IRT,Broadway - 7Av,Dyckman St,M,FALSE,1,Elevated,The Bronx,Downtown,1,1,1,NA,POINT (-73.925536 40.860531),FALSE,780855.5094,719775.4438,233214.2814,238750.2958
R40,34,34,BMT,4th Av,53 St,Bk,FALSE,R,Subway,Manhattan,Southbound,0,0,0,NA,POINT (-74.014034 40.645069),FALSE,1027594.7274,986767.1612,339581.07660000003,314471.4334
A59,190,190,IND,Liberty Av,80 St,Q,FALSE,A,Elevated,Manhattan,Outbound,0,0,0,NA,POINT (-73.858992 40.679371),FALSE,445750.1648,428335.302,234439.5786,216348.2934
A50,183,183,IND,8th Av - Fulton St,Rockaway Av,Bk,FALSE,C,Subway,Manhattan,Outbound,0,0,0,NA,POINT (-73.911946 40.67834),FALSE,596168.4814,562835.3166,252270.32200000001,234094.399
D35,51,51,BMT,Broadway - Brighton,Kings Hwy,Bk,FALSE,B Q,Open Cut,Manhattan,Southbound,1,1,1,NA,POINT (-73.957734 40.60867),FALSE,2498622.032,2448154.048,930748.7664,879376.8742
626,397,397,IRT,Lexington Av,86 St,M,FALSE,4 5 6,Subway,Uptown,Downtown,2,1,0,Uptown local only,POINT (-73.955589 40.779492),FALSE,6555978.731,6705045.8712,2989699.5842,3037380.8374
R03,2,2,BMT,Astoria,Astoria Blvd,Q,FALSE,N W,Elevated,Astoria,Manhattan,1,1,1,NA,POINT (-73.917843 40.770258),FALSE,1377392.084,1345399.644,865594.4386,823855.3906
216,429,429,IRT,Lenox - White Plains Rd,Freeman St,Bx,FALSE,2 5,Elevated,Northbound,Manhattan,0,0,0,NA,POINT (-73.891865 40.829993),FALSE,382406.80580000003,373910.148,162510.4518,150263.8988
D01,210,210,IND,Concourse,Norwood-205 St,Bx,FALSE,D,Subway,Last Stop,Manhattan,0,0,0,NA,POINT (-73.878855 40.874811),FALSE,694764.4668,683674.148,328174.9838,305907.9426
706,450,450,IRT,Flushing,103 St-Corona Plaza,Q,FALSE,7,Elevated,Outbound,Manhattan,0,0,0,NA,POINT (-73.8627 40.749865),FALSE,3628075.118,3329545.2262,1305493.6748,1165805.9068
243,355,355,IRT,Nostrand,Winthrop St,Bk,FALSE,2 5,Subway,Manhattan,Flatbush,0,0,0,NA,POINT (-73.9502 40.656652),FALSE,892888.3758,871017.409,369234.8804,349624.3824
F23,239,608,IND,6th Av - Culver,4 Av-9 St,Bk,FALSE,F G,Viaduct,Northbound,Southbound,0,0,0,NA,POINT (-73.989779 40.670272),FALSE,1637798.7292,1685556.994,602937.6456,614763.0648
F26,242,242,IND,6th Av - Culver,Fort Hamilton Pkwy,Bk,FALSE,F G,Subway,Northbound,Southbound,0,0,0,NA,POINT (-73.975776 40.650782),FALSE,728878.4204,705482.9296,329424.84620000003,313511.8108
F38,252,252,IND,6th Av - Culver,Avenue X,Bk,FALSE,F,Elevated,Manhattan,Coney Island,0,0,0,NA,POINT (-73.97425 40.58962),FALSE,233609.0284,225901.3062,79247.2704,73040.8188
205,418,418,IRT,Lenox - White Plains Rd,233 St,Bx,FALSE,2 5,Elevated,Northbound,Manhattan,1,1,1,NA,POINT (-73.857473 40.893193),FALSE,361588.356,350589.4368,106358.466,96867.462
L16,127,127,BMT,Canarsie,DeKalb Av,Bk,FALSE,L,Subway,Manhattan,Outbound,0,0,0,NA,POINT (-73.918425 40.703811),FALSE,1606493.3946,1563587.462,829987.5672,807457.0678
L28,137,137,BMT,Canarsie,East 105 St,Bk,FALSE,L,At Grade,Manhattan,Canarsie,0,0,0,NA,POINT (-73.899485 40.650573),FALSE,263437.5994,243028.5268,102160.0222,88424.3112
721,464,464,IRT,Flushing,Vernon Blvd-Jackson Av,Q,FALSE,7,Subway,Outbound,Manhattan,0,0,0,NA,POINT (-73.953581 40.742626),FALSE,2253854.528,2290593.3896,1396140.5042,1363306.0184
621,392,392,IRT,Lexington Av,125 St,M,FALSE,4 5 6,Subway,The Bronx,Downtown,1,1,1,NA,POINT (-73.937594 40.804138),FALSE,3198615.9504,2960900.2004,948940.3728,898993.3188
S24,508,508,SIR,Staten Island,Jefferson Av,SI,FALSE,SIR,Embankment,Ferry,South Shore,0,0,0,NA,POINT (-74.103338 40.583591),FALSE,0,0,0,0
137,327,327,IRT,Broadway - 7Av,Chambers St,M,TRUE,1 2 3,Subway,Uptown,Downtown,1,1,1,NA,POINT (-74.009266 40.715478),TRUE,2244317.5198,2383056.2686,1090436.0592,1111325.8076
A65,195,195,IND,Liberty Av,Ozone Park-Lefferts Blvd,Q,FALSE,A,Elevated,Manhattan,Last Stop,1,1,1,NA,POINT (-73.825798 40.685951),FALSE,707297.655,673774.7752,306933.0936,282645.22
B19,66,66,BMT,West End,18 Av,Bk,FALSE,D,Elevated,Manhattan,Southbound,0,0,0,NA,POINT (-74.001736 40.607954),FALSE,735707.627,716528.0724,324364.7904,302610.4252
M19,103,103,BMT,Jamaica,Bowery,M,TRUE,J Z,Subway,Brooklyn,Downtown,0,0,0,NA,POINT (-73.993915 40.72028),TRUE,452308.4414,487590.2128,151284.8202,202582.5174
636,407,407,IRT,Lexington Av,Astor Pl,M,TRUE,6,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.99107 40.730054),TRUE,2262667.5994,2394524.526,1247125.5822,1299557.905
D28,44,44,BMT,Broadway - Brighton,Church Av,Bk,FALSE,B Q,Open Cut,Manhattan,Southbound,1,1,1,NA,POINT (-73.962982 40.650527),FALSE,1703936.7154,1670055.624,749849.4146,699551.666
J28,93,93,BMT,Jamaica,Chauncey St,Bk,FALSE,J Z,Elevated,Outbound,Manhattan,0,0,0,NA,POINT (-73.910456 40.682893),FALSE,278560.8256,282493.0218,136268.215,124051.5114
712,456,456,IRT,Flushing,61 St-Woodside,Q,FALSE,7,Elevated,Outbound,Manhattan,1,1,1,NA,POINT (-73.902984 40.74563),FALSE,2220044.9772,2169119.7778,829781.1152,826492.0216
D41,56,56,BMT,Broadway - Brighton,Ocean Pkwy,Bk,FALSE,Q,Elevated,Manhattan,Coney Island,0,0,0,NA,POINT (-73.968501 40.576312),FALSE,354385.7486,349118.5918,89303.2854,87491.0832
J21,88,88,BMT,Jamaica,Norwood Av,Bk,FALSE,J Z,Elevated,Outbound,Manhattan,0,0,0,NA,POINT (-73.880039 40.68141),FALSE,208011.3968,214099.0326,68088.915,65477.9788
104,295,295,IRT,Broadway - 7Av,231 St,Bx,FALSE,1,Elevated,Van Cortlandt,Manhattan,1,1,1,NA,POINT (-73.904834 40.878856),FALSE,981140.894,973658.5872,365317.9722,352471.3536
G10,263,263,IND,Queens Blvd,63 Dr-Rego Park,Q,FALSE,M R,Subway,Outbound,Manhattan,0,0,0,NA,POINT (-73.861604 40.729846),FALSE,1708512.8034,1707782.7989999999,713265.4942,689198.0122
